Your Estimate,,,,
Service Type,Components,Region,Component Price,Service Price
Amazon S3 Service (US East (N. Virginia)),,,,$481.36
,S3 Standard Storage:,US East (N. Virginia),$235.52,
,S3 Standard Put Requests:,US East (N. Virginia),$5.00,
,S3 Standard Other Requests:,US East (N. Virginia),$0.20,
,S3 Standard Select Data Returned:,US East (N. Virginia),$35.84,
,S3 Standard Select Data Scanned:,US East (N. Virginia),$204.80,
Amazon Route 53 Service,,,,$58.90
,Hosted Zones:,Global,$0.50,
,Traffic Flow:,Global,$50.00,
,Standard Queries:,Global,$4.00,
,Latency Based Routing Queries:,Global,$3.00,
,Geo DNS Queries:,Global,$1.40,
Amazon CloudFront Service,,,,$5812.57
,Data Transfer Out:,Global,$4198.00,
,Data Transfer Out to Origin:,Global,$1024.00,
,Requests:,Global,$590.57,
Amazon DynamoDB Service (US East (N. Virginia)),,,,$1398.75
,On-demand Capacity:,US East (N. Virginia),$0.00,
,Provisioned Capacity:,US East (N. Virginia),$0.00,
,Indexed Data Storage:,US East (N. Virginia),$1398.75,
,DynamoDB Streams:,US East (N. Virginia),$0.00,
,On-demand backup:,US East (N. Virginia),$0.00,
,Continuous backup (PITR):,US East (N. Virginia),$0.00,
,Restoring a table:,US East (N. Virginia),$0.00,
AWS Lambda,,,,$815.80
,Number of requests ,US East (N. Virginia),$815.80,
AWS Support (Business),,,,$546.14
,Support for all AWS services:,,$546.14,
,,Free Tier Discount:,,-$6.39
,,Total Monthly Payment:,,$9107.13
